JUNGLESCOUT KEYWORD SCOUT CSV EXPORT
Report Generated at: 2023-06-19 18:47:44 UTC
"Search Term(s): '[""splash filter sink faucet aerator""]'"
Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,Recommended Promotions,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score,Organic Product Count,Sponsored Product Count
splash filter sink faucet aerator,< 5,---,---,< 5,Tools & Home Improvement,---,---,---,Moderate,---,2000,50
水龙头配件,450,104%,-40%,540,Tools & Home Improvement,0,---,---,Easy,11,56,4
水龙头转接头,450,17%,19%,540,Tools & Home Improvement,0,---,---,Easy,12,66,0
水龙头延伸器,450,104%,219%,540,Tools & Home Improvement,0,---,---,Easy,11,81,4
waternymph faucet aerator 720,450,104%,219%,540,Tools & Home Improvement,3,---,---,Easy,22,84,24
waternymph faucet aerator,450,88%,153%,1500,Tools & Home Improvement,10,---,---,Moderate,27,91,27
waternymph faucet adapter,450,17%,486%,540,Tools & Home Improvement,7,---,---,Easy,11,75,4
waternymph 720,450,17%,19%,900,Tools & Home Improvement,27,---,---,Easy,14,94,2
waternymph 360 degree swivel sink faucet aerator,450,104%,171%,180,Tools & Home Improvement,14,---,---,Easy,23,80,4
watermymph,450,17%,120%,540,Tools & Home Improvement,7,---,---,Easy,12,135,6
water tap filter,836,55%,97%,2186,Tools & Home Improvement,51,$1.08,$1.05,Easy,12,10000,36
water tap extension,450,88%,153%,540,Tools & Home Improvement,4,$0.94,$0.80,Easy,31,3000,48
water tap extender,450,104%,-34%,540,Tools & Home Improvement,5,$0.85,$0.59,Easy,40,9000,36
water tap adapter,450,17%,19%,540,Tools & Home Improvement,6,$0.67,$0.48,Easy,11,2000,36
water swivel,450,17%,157%,3244,Tools & Home Improvement,3,$0.77,$0.72,Easy,28,80000,42
water sprayer for sink,450,104%,219%,540,Tools & Home Improvement,7,$1.99,$1.50,Easy,16,50000,24
water softener faucet attachment,450,37%,284%,540,Tools & Home Improvement,0,---,---,Easy,14,383,6
water sink filter faucet,450,17%,19%,900,Tools & Home Improvement,43,$1.49,$1.57,Easy,13,6000,4
water saving faucet aerator,450,104%,219%,540,Tools & Home Improvement,6,$1.16,$0.91,Easy,16,1000,57
water saver faucet adapters,450,104%,219%,540,Tools & Home Improvement,4,$0.68,$0.83,Easy,24,2000,36
water saver faucet,450,104%,219%,1050,Tools & Home Improvement,1,$0.95,$0.88,Easy,23,20000,30
water purifier faucet attachment,450,104%,116%,540,Tools & Home Improvement,54,$1.14,$0.39,Easy,15,1000,39
water nymph faucet aerator,450,118%,379%,540,Tools & Home Improvement,11,---,---,Easy,20,99,39
water hose for sink faucet,1267,85%,135%,3660,Tools & Home Improvement,20,---,---,Easy,11,9000,24
water fountain sink attachment,450,104%,219%,540,Tools & Home Improvement,4,$0.73,$0.55,Easy,18,489,48
water fountain sink,450,104%,219%,2700,Tools & Home Improvement,8,$0.82,$0.75,Easy,14,4000,48
water fountain for sink faucet,450,104%,219%,540,Tools & Home Improvement,2,---,---,Easy,18,1000,41
water fountain attachment for sink,450,88%,155%,540,Tools & Home Improvement,4,---,---,Easy,23,273,32
water filter tap faucet,450,194%,273%,1050,Tools & Home Improvement,61,$0.70,$1.17,Easy,12,4000,36
water filter sink faucet,733,240%,66%,11954,Tools & Home Improvement,65,$1.81,$1.56,Easy,14,40000,30
water filter sink attachment,1266,79%,50%,1716,Tools & Home Improvement,55,$1.66,$1.44,Easy,12,1000,36
water filter for skin care,450,17%,593%,540,Tools & Home Improvement,82,---,---,Easy,12,206,4
water filter for sink bathroom,1614,176%,15%,1937,Tools & Home Improvement,57,---,---,Easy,23,5000,39
water filter for faucets,450,104%,-45%,600,Tools & Home Improvement,55,$1.14,$0.97,Easy,18,10000,36
water filter for faucet,2940,564%,23%,53899,Tools & Home Improvement,62,$1.15,$0.97,Easy,14,10000,38
water filter for bathroom sink faucet,450,294%,282%,540,Tools & Home Improvement,56,---,---,Easy,36,80000,36
water filter for bathroom sink,3623,15%,19%,5928,Tools & Home Improvement,47,$1.60,$1.56,Easy,21,9000,36
water filter faucet attachment,450,104%,221%,1350,Tools & Home Improvement,56,$1.00,$1.42,Easy,36,8000,36
water filter faucet adapter,450,104%,219%,3570,Tools & Home Improvement,3,$1.45,$1.22,Easy,29,3000,36
water filter bathroom sink,1173,39%,23%,5928,Tools & Home Improvement,45,$1.86,$1.34,Easy,12,7000,24
water filter attachment for sink faucet,450,478%,424%,540,Tools & Home Improvement,57,---,---,Easy,14,1000,36
water filter adapter,450,104%,219%,5370,Tools & Home Improvement,4,$1.42,$1.16,Easy,18,6000,38
water faucet nozzle,450,104%,219%,750,Tools & Home Improvement,31,$0.60,$0.68,Easy,18,10000,41
water faucet filters,450,104%,116%,540,Tools & Home Improvement,57,$1.08,$1.06,Easy,12,6000,36
water faucet extender for kids,450,104%,346%,540,Baby,8,---,---,Easy,11,769,42
water faucet extender,1315,58%,138%,3565,Tools & Home Improvement,16,$0.87,$0.80,Easy,47,30000,36
water faucet attachment,450,104%,219%,4050,Tools & Home Improvement,11,$1.23,$1.21,Easy,43,20000,36
water faucet aerator for kitchen sink,450,104%,219%,540,Tools & Home Improvement,18,---,---,Easy,44,70000,36
water faucet aerator,450,104%,219%,1800,Tools & Home Improvement,14,$1.19,$1.11,Easy,41,6000,37
water faucet adapter,450,104%,219%,6420,Tools & Home Improvement,7,$1.04,$0.90,Easy,11,30000,24
water extender,450,17%,540%,18794,Tools & Home Improvement,0,$0.72,$0.75,Easy,60,100000,42
water airaiter,450,17%,120%,540,Tools & Home Improvement,22,---,---,Easy,21,90000,5
water aerator faucet,450,104%,219%,600,Tools & Home Improvement,12,$1.11,$0.85,Easy,37,20000,40
water aerator,1635,102%,120%,4935,Pet Supplies,15,$0.89,$0.95,Easy,37,90000,36
washer sink adapter,450,17%,646%,1800,Tools & Home Improvement,6,---,---,Easy,11,4000,6
washer faucet adapter,450,118%,379%,900,Tools & Home Improvement,6,$0.64,$0.82,Moderate,11,1000,48
washer adapter for sink,450,104%,219%,540,Tools & Home Improvement,6,$2.04,$0.98,Easy,11,950,36
wash sink faucet,450,104%,219%,900,Tools & Home Improvement,7,$1.57,$1.72,Easy,16,70000,36
upgraded universal splash filter faucet,450,17%,405%,540,Tools & Home Improvement,2,---,---,Easy,40,174,36
upgraded universal faucet,450,17%,55%,900,Tools & Home Improvement,2,---,---,Easy,24,569,48
upgraded 360° rotatable faucet sprayer head,450,104%,-45%,540,Tools & Home Improvement,0,---,---,Easy,18,222,50
universal water filter for sink,450,104%,219%,540,Tools & Home Improvement,37,---,---,Easy,15,1000,38
universal water faucet adapter,450,104%,219%,540,Tools & Home Improvement,10,$1.46,$0.82,Easy,26,1000,42
universal water faucet,450,104%,63%,900,Tools & Home Improvement,12,---,---,Easy,63,6000,48
universal swivel faucet extender,2899,-63%,141%,3479,Tools & Home Improvement,3,---,---,Easy,48,1000,36
universal swivel faucet,549,25%,47%,999,Tools & Home Improvement,14,---,---,Easy,53,1000,36
universal spray faucet head,450,7%,13%,540,Tools & Home Improvement,10,---,---,Easy,19,1000,4
"universal splash filter faucet,720°rotatable faucet sprayer head with 4-layer net filter,anti-splash,oxygen-enriched foam,leakproof design with double",450,17%,207%,540,Tools & Home Improvement,0,---,---,Easy,12,91,1
"universal splash filter faucet,",450,17%,19%,2700,Tools & Home Improvement,3,---,---,Somewhat Difficult,44,1000,6
universal splash filter faucet 720 rotating,450,104%,219%,540,Tools & Home Improvement,2,---,---,Easy,55,406,36
universal splash filter faucet,450,104%,242%,2700,Tools & Home Improvement,2,---,---,Somewhat Difficult,68,1000,50
universal splash filter,450,17%,207%,3150,Tools & Home Improvement,2,---,---,Very Difficult,81,2000,38
universal sink filter,450,17%,486%,1350,Tools & Home Improvement,44,$0.57,$1.28,Easy,39,8000,6
universal sink faucet,450,104%,219%,900,Tools & Home Improvement,18,$3.18,$3.18,Easy,43,6000,60
universal rotating faucet extender,450,285%,216%,540,Tools & Home Improvement,11,---,---,Moderate,43,1000,38
universal rotating faucet,450,88%,392%,900,Tools & Home Improvement,12,---,---,Moderate,33,1000,42
universal pressure tap nozzle,1333,60%,197%,1600,Tools & Home Improvement,9,---,---,Easy,16,511,36
universal hose adapter for sink,450,104%,219%,540,Tools & Home Improvement,17,---,---,Easy,18,366,42
universal faucet water filter,450,17%,486%,540,Tools & Home Improvement,7,$0.88,$0.63,Easy,53,2000,36
universal faucet sprayer,450,104%,219%,1350,Tools & Home Improvement,12,---,---,Easy,29,3000,36
universal faucet spray head,450,31%,178%,900,Tools & Home Improvement,15,---,---,Easy,17,863,36
universal faucet head,450,104%,511%,2700,Tools & Home Improvement,10,$1.75,$1.41,Easy,19,2000,42
universal faucet filter,450,17%,486%,1350,Tools & Home Improvement,15,$1.81,$1.11,Easy,56,2000,36
